Name Football Player,International ,Date of birth,Place of Birth ,Country of Birth,Current Country ,Nationality Father,Nationality Mother,Nationality Grandfather,Nationality Grandmother,Foreign-born,FIFA World Cup
Ruben Darío Rojas Dielma (Darío Rojas),Bolivia,20-Jan-60,Buenos Aires,Argentina,,,,,,1,1994
Luis Cristaldo,Bolivia,31 augustus 1969,Formosa,Argentina,,,,,,1,1994
Matthias Sammer,Germany,5-Sep-67,Dresden,East Germany,Germany,,,,,1,1994
Ulf Kirsten,Germany,4-Dec-65,Riesa,East Germany,Germany,,,,,1,1994
Minas Hantzidis,Greece,4-Jul-66,Kettwig,West Germany,Germany,Greece,Greece,,,1,1994
Savvas Kofidis,Greece,21-Mar-61,Alma-Ata,Kazach SSR (Soviet Union),Kazachstan,Greece,Greece,,,1,1994
Ulrich van Gobbel,Netherlands,16-Jan-71,Paramaribo,Suriname,,Suriname,Suriname,,Suriname,1,1994
Aron Winter,Netherlands,1-Mar-67,Paramaribo,Suriname,,Suriname,Suriname ,China,,1,1994
Efan Ekoku,Nigeria,8-Jun-67,Cheetham Hill,England,,Nigeria,England (?),,,1,1994
Karl Petter Løken,Norway,14 augustus 1966,Karlskoga,Sweden,,Norway,Norway,,,1,1994
Terry Phelan,Republic of Ireland,16-Mar-67,Manchester,England,,,,Republic of Ireland (?),Republic of Ireland (?),1,1994
Paul McGrath,Republic of Ireland,4-Dec-59,Ealing,England,,Nigeria,Republic of Ireland,,,1,1994
Andy Townsend (Captain),Republic of Ireland,23-Jul-63,Maidstone,England,,England,England,,,1,1994
Ray Houghton,Republic of Ireland,9-Jan-62,Glasgow ,Scotland,,Republic of Ireland,,,,1,1994
John Aldridge,Republic of Ireland,18-Sep-58,Liverpool,England,,England,England,Republic of Ireland (?),,1,1994
John Sheridan,Republic of Ireland,1-Oct-64,Stretford,England,,,,Republic of Ireland,,1,1994
Alan Kernaghan,Republic of Ireland,25-Apr-67,Belfast,Northern Ireland,,Norhtern Ireland,Northern Ireland,Republic of Ireland,Republic of Ireland,1,1994
Phil Babb,Republic of Ireland,30-Oct-70,Lambeth,England,,,Republic of Ireland,Republic of Ireland,Republic of Ireland,1,1994
Tommy Coyne,Republic of Ireland,14-Nov-62,Govan,Scotland,,Scotland,Scotland,,Republic of Ireland,1,1994
Tony Cascarino,Republic of Ireland,1-Sep-62,St Paul's Cray,England,,Scotland,England,Republic of Ireland (?),Italy,1,1994
Eddie McGoldrick,Republic of Ireland,30-Apr-65,Islington,England,,,,Republic of Ireland,Republic of Ireland,1,1994
Alan McLoughlin,Republic of Ireland,20-Apr-67,Manchester,England,,Republic of Ireland,Republic of Ireland,,,1,1994
David Kelly,Republic of Ireland,25-Nov-65,Birmingham,England,,Republic of Ireland,,,,1,1994
Jason McAteer,Republic of Ireland,18-Jun-71,Tranmere,England,,England,England,Republic of Ireland,,1,1994
Alan Kelly,Republic of Ireland,11 augustus 1968,Preston,England,,Republic of Ireland,,,,1,1994
Sergei Gorlukovich,Russia,18-Nov-61,Boruny,Soviet Union,Belarus,,,,,1,1994
Yuri Nikiforov,Russia,16-Sep-70,Odessa,Soviet Union,Estonia,,,,,1,1994
Vladislav Ternavski,Russia,2-May-69,Kiev,Soviet Union,Ukraine,,,,,1,1994
Andrei Piatnitski,Russia,27-Sep-67,Tashkent,Soviet Union,Uzbekistan,,,,,1,1994
Valery Karpin,Russia,2-Feb-69,Narva,Soviet Union,Ukraine,,,,,1,1994
Omari Tetradze,Russia,13-Oct-69,Velospiri,Soviet Union,Georgia,,,,Georgia,1,1994
Ilya Tsymbalar,Russia,17-Feb-69,Odessa,Soviet Union,Ukraine,,,,,1,1994
Viktor Onopko ,Russia,14-Oct-69,Voroshilovgrad,Soviet Union,Ukraine,,,,,1,1994
Sergei Yuran,Russia,11-Jun-69,Luhansk,Soviet Union,Ukraine,,,,,1,1994
Christophe Ohrel,Switzerland,7-Apr-68,Strasbourg,France,,France,France,,,1,1994
Nestor Subiat,Switzerland,23-Apr-66,Buenos Aires,Argentina,,Argentina,Argentina,,,1,1994
Thomas Dooley ,United States,5-Dec-61,Bechhofen,West Germany,,United States,Germany,,,1,1994
Hugo Pérez,United States,8-Nov-63,Morazán,El Salvador,,El Slavador,El Salvador,El Salvador,,1,1994
Earnie Stewart,United States,28-Mar-69,Veghel,Netherlands,,United States,Netherlands,,,1,1994
Tab Ramos,United States,21-Sep-66,Montevideo,Uruguay,,Uruguay,Uruguay,,,1,1994
Roy Wegerle,United States,19-Mar-64,Pretoria,South Africa,,South Africa,South Africa,,,1,1994
Frank Klopas,United States,1-Sep-66,Prosimna,Greece,,Greece,Greece,,,1,1994
Fernando Clavijo,United States,23-Jan-56,Maldonado,Uruguay,,Uruguay,Uruguay,,,1,1994
Ali El Khattabi,Morocco,17-Jan-77,Schiedam,Netherlands,,Morocco,Morocco,,,1,1998
Gharib Amzine,Morocco,3-May-73,Montbéliard,France,,Morocco,Morocco,,,1,1998
Espen Baardsen,Norway,7-Dec-77,San Rafael,United States,,Norway,Norway,,,1,1998
Neil Sullivan,Scotland,24-Feb-70,Sutton,England,,Scotland (?),Scotland (?),,,1,1998
Matt Elliott,Scotland,1-Nov-69,Wandsworth ,England,,England,England,England ,Scotland,1,1998
Jonathan Gould,Scotland,18-Jul-68,Paddington,England,,England,England,Scotland,,1,1998
Ivica Vastić,Austria,29-Sep-69,Split,SFR Yugoslavia,Croatia,Croatia,Croatia,Croatia,Croatia,1,1998
Joseph-Désiré Job,Cameroon,1-Dec-77,Vénissieux,France,,Cameroon,Cameroon,,,1,1998
Gordan Vidović,Belgium,23-Jun-68,Sarajevo ,FSR Yugoslavia,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,,,1,1998
Luis Oliveira,Belgium,24-Mar-69,São Luis,Brazil,,Brazil,Brazil,,,1,1998
Mbo Mpenza,Belgium,4-Dec-76,Kinshasa,Zaire,Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,,,1,1998
Brian Laudrup,Denmark,22-Feb-69,Vienna,Austria,,Denmark,Denmark,,,1,1998
Roberto Acuña,Paraguay,25-Mar-72,Avellaneda,Argentina,,Argentina,Argentina,,,1,1998
Ricardo Rojas,Paraguay,26-Jan-71,Posadas,Argentina,,Argentina,Argentina,Paraguay,Paraguay,1,1998
Graeme Le Saux,England,17-Oct-68,Saint Helier,Jersey,,England ,England,France ,England,1,1998
Patrick Vieira,France,23-Jun-76,Dakar,Senegal,,Senegal,Cape Verde,Senegal / France,Senegal,1,1998
Marcel Desailly ,France,7-Sep-68,Accra,Ghana,,Ghana,Ghana,,,1,1998
Lilian Thuram,France,1-Jan-72,Pointe-à-Pitre,Guadeloupe,,Guadeloupe ,Guadeloupe,,,1,1998
Christian Karembeu,France,3-Dec-70,Lifou,New Caledonia,,New Caledonia,New Caledonia,,,1,1998
Jörg Heinrich,Germany,6-Dec-69,Rathenow,East Germany,Germany,,,,,1,1998
Ulf Kirsten,Germany,4-Dec-65,Riesa,East Germany,Germany,,,,,1,1998
Olaf Marschall,Germany,19-Mar-66,Torgau,East Germany,Germany,,,,,1,1998
Jens Jeremies,Germany,5-Mar-74,Görlitz,East Germany,Germany,,,,,1,1998
Roberto Di Matteo,Italy,29-May-70,Schaffhausen,Zwitserland,,Italy,Italy,,,1,1998
Clarence Seedorf,Netherlands,1-Apr-76,Paramaribo,Suriname,,Suriname,Suriname,,,1,1998
Edgar Davids,Netherlands,13-Mar-73,Paramaribo,Suriname,,Suriname / African (?),Suriname,,,1,1998
Aron Winter,Netherlands,1-Mar-67,Paramaribo,Suriname,,Suriname,Suriname ,China,,1,1998
Jimmy Floyd Hasselbaink,Netherlands,27-Mar-72,Paramaribo,Suriname,,Suriname,Suriname ,,,1,1998
Ivica Kralj,FR Yugoslavia,26-Mar-73,Kotor,SFR Yugoslavia,Montenegro,,,,,1,1998
Goran Đorović,FR Yugoslavia,11-Nov-71,Pristina,SFR Yugoslavia,Kosovo,,,,,1,1998
Branko Brnović,FR Yugoslavia,8 augustus 1967,Titograd,SFR Yugoslavia,Montenegro,,,,,1,1998
Dejan Savićević,FR Yugoslavia,15-Sep-66,Titograd,SFR Yugoslavia,Montenegro,,,,,1,1998
Predrag Mijatović,FR Yugoslavia,19-Jan-69,Titograd,SFR Yugoslavia,Montenegro,,,,,1,1998
Siniša Mihajlović,FR Yugoslavia,20-Feb-69,Vukovar,SFR Yugoslavia,Croatia,Serbia,Croatia,,,1,1998
Slobodan Komljenović,FR Yugoslavia,2-Jan-71,Frankfurt,West Germany,Germany,Serbia (?),Serbia (?),,,1,1998
Niša Saveljić,FR Yugoslavia,23-Feb-70,Titograd,SFR Yugoslavia,Montenegro,,,,,1,1998
Željko Petrović,FR Yugoslavia,13-Nov-65,Nikšić,SFR Yugoslavia,Montenegro,,,,,1,1998
Savo Milošević,FR Yugoslavia,2-Sep-73,Bijeljina,SFR Yugoslavia,Bosnia and Herzegovina,Serbia,Serbia,,,1,1998
Juan Antonio Pizzi,Spain,7-Jun-68,Santa Fe,Argentina,,Argentina,Argentina,,,1,1998
José Cláyton Menezes Ribeiro (José Clayton),Tunisia,21-Mar-74,São Luís,Brazil,,Brazil,Brazil,,,1,1998
Thomas Dooley (Captain),United States,5-Dec-61,Bechhofen,West Germany,Germany,United States,Germany,,,1,1998
David Regis,United States,2-Dec-68,La Trinité,Martinique,,Martinique (?),Martinique (?),,,1,1998
Roy Wegerle,United States,19-Mar-64,Pretoria,South Africa,,South Africa,South Africa,,,1,1998
Earnie Stewart,United States,28-Mar-69,Veghel,Netherlands,,United States,Netherlands,,,1,1998
Tab Ramos,United States,21-Sep-66,Montevideo,Uruguay,,Uruguay,Uruguay,,,1,1998
Jeff Agoos,United States,2-May-68,Geneva,Switzerland,,United States,Switzerland (?),,,1,1998
Predrag Radosavljević (Preki),United States,24-Jun-63,Belgrade,SFR Yugoslavia,Serbia,Serbia,Serbia,,,1,1998
Anthony Šerić,Croatia,15-Jan-79,Sydney,Australia,,Croatia ,Croatia ,,,1,1998
Goran Jurić,Croatia,5-Feb-63,Mostar,SFR Yugoslavia,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,,,1,1998
Robert Prosinečki,Croatia,12-Jan-69,Schwenningen,West Germany,Germany,Croatia,Serbia,,,1,1998
Mario Stanić,Croatia,10-Apr-72,Sarajevo,SFR Yugoslavia,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,,,1,1998
Ardian Kozniku,Croatia,27-Oct-67,Gjakova,SFR Yugoslavia,Kosovo,,,,,1,1998
Krunoslav Jurčić,Croatia,26-Nov-69,Grude,SFR Yugoslavia,Bosnia and Herzegovina,Croatia (?),Croatia (?),,,1,1998
Vladimir Vasilj,Croatia,6-Jul-75,Hannover,West Germany,Germany,Croatia,Croatia,,,1,1998
Fitzroy Simpson,Jamaica,26-Feb-70,Bradford on Avon,England,,Jamaica,Jamaica,,,1,1998
Marcus Gayle,Jamaica,27-Sep-70,Hammersmith,England,,Jamiaca,England,,,1,1998
Andy Williams,Jamaica,23-Sep-77,Toronto,Canada,,Jamaica,Jamaica,,,1,1998
Robbie Earle,Jamaica,27-Jan-65,Newcastle-under-Lyme,England,,Jamaica,Jamaica,,,1,1998
Deon Burton,Jamaica,25-Oct-76,Reading,England,,Jamaica,England,,,1,1998
Frank Sinclair,Jamaica,3-Dec-71,Lambeth,England,,Jamaica,Jamaica,,,1,1998
Darryl Powell,Jamaica,15-Nov-71,Lambeth,England,,Jamaica,Jamaica,,,1,1998
Paul Hall,Jamaica,3-Jul-72,Manchester,England,,Jamaica,Jamaica,,,1,1998
Wagner Lopes,Japan,29-Jan-69,Franca,Brazil,,Brazil,Brazil,,,1,1998
Branko Strupar,Belgium,9-Feb-70,Zagreb,SFR Yugoslavia,Croatia,,,,,1,2002
Mbo Mpenza,Belgium,4-Dec-76,Kinshasa,Zaire,Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,,,1,2002
Joseph-Désiré Job,Cameroon,1-Dec-77,Vénissieux,France,,Cameroon,Cameroon,,,1,2002
Anthony Šerić,Croatia,15-Jan-79,Sydney,Australia,,Croatia (?),Croatia (?),,,1,2002
Josip Šimunić,Croatia,18-Feb-78,Canberra,Australia,,Bosnia and Herzegovina,Bosnia and Herzegovina,Croatia (?),Croatia (?),1,2002
Stjepan Tomas,Croatia,6-Mar-76,Bugojno,SFR Yugoslavia,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,,,1,2002
Boris Živković,Croatia,15-Nov-75,Živinice,SFR Yugoslavia,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,,,1,2002
Robert Prosinečki,Croatia,12-Jan-69,Schwenningen,West Germany,Germany,Croatia,Serbia,,,1,2002
Niko Kovač ,Croatia,15-Oct-71,West-Berlin,West Germany,Germany,Bosnia and Herzegovina,Bosnia and Herzegovina,Croatia,Croatia,1,2002
Mario Stanić,Croatia,10-Apr-72,Sarajevo,SFR Yugoslavia,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,,,1,2002
Robert Kovač,Croatia,6-Apr-74,West-Berlin,West Germany,Germany,Bosnia and Herzegovina,Bosnia and Herzegovina,Croatia,Croatia,1,2002
Vladimir Vasilj,Croatia,6-Jul-75,Hannover,West Germany,Germany,,,,,1,2002
Jesper Grønkjær,Denmark,12 augustus 1977,Nuuk,Greenland ,,,,,,1,2002
Jan Michaelsen,Denmark,28-Nov-70,Nantes ,France,,Denmark,Denmark (?),,,1,2002
Owen Hargreaves,England,20-Jan-81,Calgary ,Canada,,England,Wales,,,1,2002
Patrick Vieira,France,23-Jun-76,Dakar,Senegal,,Senegal,Cape Verde,Senegal / France,Senegal,1,2002
Claude Makélélé,France,18-Feb-73,Kinshasa,Zaire,Democratic Republic of the Congo,Democratic Republic of the Congo,,,,1,2002
Marcel Desailly (Captain),France,7-Sep-68,Accra,Ghana,,Ghana,Ghana,,,1,2002
Lilian Thuram,France,1-Jan-72,Pointe-à-Pitre,Guadeloupe,,Guadeloupe ,Guadeloupe,,,1,2002
Thomas Linke,Germany,26-Dec-69,Sömmerda,East Germany,Germany,,,,,1,2002
Marko Rehmer,Germany,29-Apr-72,East Berlin,East Germany,Germany,,,,,1,2002
Oliver Neuville,Germany,1-May-73,Locarno,Switzerland,,Germany,Italy,Belgium,,1,2002
Carsten Jancker,Germany,28 augustus 1974,Grevesmühlen,East Germany,Germany,,,,,1,2002
Miroslav Klose,Germany,9-Jun-78,Opole,Poland,,Germany,,,,1,2002
Michael Ballack (Captain),Germany,26-Sep-76,Görlitz,East Germany,Germany,,,,,1,2002
Gerald Asamoah,Germany,3-Oct-78,Mampong,Ghana,,Ghana,Ghana,,,1,2002
Jens Jeremies,Germany,5-Mar-74,Görlitz,East Germany,Germany,,,,,1,2002
Jörg Böhme,Germany,22-Jan-74,Hohenmölsen,East Germany,Germany,,,,,1,2002
Bernd Schneider,Germany,17-Nov-73,Jena ,East Germany,Germany,,,,,1,2002
Alessandro dos Santos (Alex),Japan,20-Jul-77,Maringá,Brazil,,Brazil,Brazil,,,1,2002
Gabriel Caballero,Mexico,5-Feb-71,Rosario,Argentina,,Argentina,Argentina,,,1,2002
Efe Sodje,Nigeria,5-Oct-72,Greenwhich,England,,Nigeria,Nigeria,,,1,2002
Roberto Acuña,Paraguay,25-Mar-72,Avellaneda,Argentina,,Argentina,Argentina,,,1,2002
Emmanuel Olisadebe,Poland,22-Dec-78,Warri,Nigeria,,Nigeria,Nigeria,,,1,2002
Abel Luís da Silva Costa Xavier (Abel Xavier),Portugal,30-Nov-72,Nampula,Mozambique,,Mozambique,Mozambique,,,1,2002
Armando Gonçalves Teixeira (Petit),Portugal,25-Sep-76,Strasbourg,France,,Portugal,Portugal,,,1,2002
Jason McAteer,Republic of Ireland,18-Jun-71,Tranmere,England,,England,England,Republic of Ireland,,1,2002
Matt Holland,Republic of Ireland,11-Apr-74,Bury,England,,England,England,,Republic of Ireland,1,2002
Kevin Kilbane,Republic of Ireland,1-Feb-77,Preston,England,,Republic of Ireland,Republic of Ireland,,,1,2002
David Connolly,Republic of Ireland,6-Jun-77,Willesden,England,,Republic of Ireland,Republic of Ireland,,,1,2002
Gary Breen,Republic of Ireland,12-Dec-73,Hendon,England,,Republic of Ireland,Republic of Ireland,,,1,2002
Dean Kiely,Republic of Ireland,10-Oct-70,Salford,England,,Republic of Ireland (?),Republic of Ireland (?),,,1,2002
Clinton Morrison,Republic of Ireland,14-May-79,Tooting,England,,Jamaica,Trinidad and Tobago (?),,Republic of Ireland,1,2002
Andrew O'Brien,Republic of Ireland,29-Jun-79,Harrogate,England,,Republic of Ireland ,Republic of Ireland,,,1,2002
Steven Reid,Republic of Ireland,10-Mar-81,Kingston upon Thames,England,,Jamaica,Republic of Ireland,Republic of Ireland,,1,2002
Lee Carsley,Republic of Ireland,28-Feb-74,Birmingham,England,,England,England,,Republic of Ireland,1,2002
Alan Kelly,Republic of Ireland,11 augustus 1968,Preston,England,,Republic of Ireland,,,,1,2002
Yuri Nikiforov,Russia,16-Sep-70,Odessa,Soviet Union,Estonia,,,,,1,2002
Viktor Onopko (Captain),Russia,14-Oct-69,Voroshilovgrad,Soviet Union,Ukraine,,,,,1,2002
Valery Karpin,Russia,2-Feb-69,Narva,Soviet Union,Ukraine,,,,,1,2002
Sergei Semak,Russia,27-Feb-76,Sychanskoye,Soviet Union,Ukraine,Ukraine,Ukraine,,,1,2002
Sylvain N'Diaye,Senegal,25-Jun-76,Paris,France,,France ,France,Senegal,Senegal (?),1,2002
Habib Beye,Senegal,19-Oct-77,Suresnes,France,,France ,Senegal,,,1,2002
Zoran Pavlović,Slovenia,27-Jun-76,Tuzla,SFR Yugoslavia,Bosnia and Herzegovina,,,,,1,2002
Amir Karić,Slovenia,31-Dec-73,Orahovica Donja,SFR Yugoslavia,Croatia,,,,,1,2002
George Koumantarakis,South Africa,27-Mar-74,Athens ,Greece,,Greece,Greece ,,,1,2002
Cha Du-ri,South Korea,25-Jul-80,Frankfurt am Main,West Germany,Germany,South Korea,,,,1,2002
Curro Torres,Spain,27-Dec-76,Ahlen,West Germany,Germany,Spain,Spain,,,1,2002
Tobias Linderoth,Sweden,21-Apr-79,Marseille ,France ,,Sweden,Sweden,,,1,2002
Selim Benachour,Tunisia,8-Sep-81,Paris,France,,Tunisia,Tunisia,,,1,2002
José Cláyton Menezes Ribeiro (José Clayton),Tunisia,21-Mar-74,São Luís,Brazil,,Brazil,Brazil,,,1,2002
Yıldıray Baştürk,Turkey,24-Dec-78,Herne,West Germany,Germany,Turkey,Turkey,,,1,2002
Muzzy Izzet,Turkey,31-Oct-74,Mile End,England,,Turkey ,England,,,1,2002
Tayfur Havutçu,Turkey,23-Apr-70,Hanau,West Germany,Germany,Turkey ,Turkey,,,1,2002
İlhan Mansız,Turkey,10 augustus 1975,Kempten ,West Germany,Germany,Turkey,Turkey,,,1,2002
Ümit Davala,Turkey,30-Jul-73,Mannheim,West Germany,Germany,Turkey ,Turkey,,,1,2002
Pablo Mastroeni,United States,29 augustus 1976,Mendoza,Argentina,,Argentina (?),Argentina (?),Italy (?),Italy (?),1,2002
David Regis,United States,2-Dec-68,La Trinité,Martinique,,,,,,1,2002
Earnie Stewart,United States,28-Mar-69,Veghel,Netherlands,,United States,Netherlands,,,1,2002
Jeff Agoos,United States,2-May-68,Geneva,Switzerland,,United States,Switzerland (?),,,1,2002
Carlos Llamosa,United States,30-Jun-69,Palmira,Colombia,,Colombia ,Colombia ,,,1,2002
Victor Núñez,Costa Rica,15-Apr-80,Santa Domingo,Dominican Republic,,Dominican Republic,,,,1,2006
Roberto Acuña,Paraguay,25-Mar-72,Avellaneda,Argentina,,Argentina,Argentina,,,1,2006
Owen Hargreaves,England,20-Jan-81,Calgary ,Canada,,England,Wales,,,1,2006
Shaka Hislop,Trinidad and Tobago,22-Feb-69,Hackney,England,,Trinidad and Tobago,Trinidad and Tobago,Trinidad and Tobago,,1,2006
Ian Cox,Trinidad and Tobago,25-Mar-71,Croydon,England,,Trinidad and Tobago (?),Trinidad and Tobago (?),,,1,2006
Chris Birchall,Trinidad and Tobago,5-May-84,Stattford ,England,,England,Trinidad and Tobago,,,1,2006
Jean-Alain Boumsong,France,14-Dec-79,Douala,Cameroon,,Cameroon,Cameroon,,,1,2006
Patrick Vieira,France,23-Jun-76,Dakar,Senegal,,Senegal,Cape Verde,Senegal / France,Senegal,1,2006
Claude Makélélé,France,18-Feb-73,Kinshasa,Zaire,Democratic Republic of the Congo,Democratic Republic of the Congo,,,,1,2006
Florent Malouda,France,13-Jun-80,Cayenne,French Guiana,Guiana,French Guiana,French Guiana,,,1,2006
Lilian Thuram,France,1-Jan-72,Pointe-à-Pitre,Guadeloupe,,Guadeloupe ,Guadeloupe,,,1,2006
Pascal Chimbonda,France,21-Feb-79,Les Abymes,Guadeloupe,,Guadeloupe ,Guadeloupe,,,1,2006
Emerse Faé,Ivory Coast,24-Jan-84,Nantes ,France,,Ivory Coast,Ivory Coast,,,1,2006
Abdoulaye Méïté,Ivory Coast,6-Oct-80,Paris ,France ,,Ivory Coast ,Ivory Coast,,,1,2006
Guy Demel,Ivory Coast,13-Jun-81,Orsay,France,,Ivory Coast,Ivory Coast,,,1,2006
Robert Huth,Germany,18 augustus 1984,Berlin ,East Germany,Germany,,,,,1,2006
Oliver Neuville,Germany,1-May-73,Locarno,Switzerland,,Germany,Italy,Belgium,,1,2006
Miroslav Klose,Germany,9-Jun-78,Opole,Poland,,Germany,,,,1,2006
Michael Ballack (Captain),Germany,26-Sep-76,Görlitz,East Germany,Germany,,,,,1,2006
Gerald Asamoah,Germany,3-Oct-78,Mampong,Ghana,,Ghana,Ghana,,,1,2006
Tim Borowski,Germany,2-May-80,Neubrandenburg,East Germany,Germany,,,,,1,2006
Bernd Schneider,Germany,17-Nov-73,Jena ,East Germany,Germany,,,,,1,2006
Lukas Podolski,Germany,4-Jun-85,Gliwice,Poland,,Poland,Poland ,Germany ,Germany,1,2006
Ivan Ergić,Serbia and Montenegro,21-Jan-81,Šibenik,SFR Yugoslavia,Croatia,Yugoslavia / Serbia,Yugoslavia / Serbia,,,1,2006
Ognjen Koroman,Serbia and Montenegro,19-Sep-78,Pale ,SFR Yugoslavia,Bosnia and Herzegovina,?,?,,,1,2006
Savo Milošević (Captain),Serbia and Montenegro,2-Sep-73,Bijeljina,SFR Yugoslavia,Bosnia and Herzegovina,Serbia ,Serbia,,,1,2006
Oliver Kovačević,Serbia and Montenegro,29-Dec-74,Split,SFR Yugoslavia,Croatia,?,?,,,1,2006
Mladen Krstajić,Serbia and Montenegro,4-Mar-74,Zenica,SFR Yugoslavia,Bosnia and Herzegovina,Montenegro,Bosnia and Herzegovina,,,1,2006
Danijel Ljuboja,Serbia and Montenegro,4-Sep-78,Vinkovci,SFR Yugoslavia,Croatia,Serbia,Serbia,,,1,2006
Ferydoon Zandi,Iran,26-Apr-79,Emden,West Germany,Germany,Iran,Germany,,,1,2006
Mauro Camoranesi,Italy,4-Oct-76,Tandil,Argentina,,Argentina,Argentina,Argentina,Argentina,1,2006
Simone Perrotta,Italy,17-Sep-77,Ashton-under-Lyne,England,,Italy,Italy,,,1,2006
Armando Gonçalves Teixeira (Petit),Portugal,25-Sep-76,Strasbourg,France,,Portugal,Portugal,,,1,2006
Deco,Portugal,27 augustus 1977,São Bernardo do Campo,Brazil,,Brazil,Brazil,,,1,2006
Otto Addo,Ghana,9-Jun-75,Hamburg,West Germany,Germany,Ghana,Ghana,,,1,2006
Antônio Naelson Matias (Sinha),Mexico,23-May-76,Itajá,Brazil,,Brazil,Brazil,,,1,2006
Guillermo Franco,Mexico,3-Nov-76,Corrientes,Argentina,,Argentina,Argentina,,,1,2006
Archie Thompson,Australia,23-Oct-78,Otorohanga,New Zealand,,New Zealand ,Papua New Guinea,,,1,2006
Mariano Pernía,Spain,4-May-77,Buenos Aires,Argentina,,Argentina ,Argentina ,,,1,2006
Marcos Senna,Spain,17-Jul-76,São Paulo,Brazil,,Brazail,Brazil,,,1,2006
Josip Šimunić,Croatia,18-Feb-78,Canberra,Australia,,Bosnia and Herzegovina,Bosnia and Herzegovina,Croatia (?),Croatia (?),1,2006
Robert Kovač,Croatia,6-Apr-74,West-Berlin,West Germany,Germany,Bosnia and Herzegovina,Bosnia and Herzegovina,Croatia,Croatia,1,2006
Niko Kovač (Captain),Croatia,15-Oct-71,West-Berlin,West Germany,Germany,Bosnia and Herzegovina,Bosnia and Herzegovina,Croatia,Croatia,1,2006
Mario Tokić,Croatia,23-Jun-75,Derventa,SFR Yugoslavia,Bosnia and Herzegovina,,,,,1,2006
Joey Didulica,Croatia,14-Oct-77,Geelong ,Australia,,Croatia,Croatia ,,,1,2006
Stjepan Tomas,Croatia,6-Mar-76,Bugojno,SFR Yugoslavia,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,,,1,2006
Ivan Klasnić,Croatia,29-Jan-80,Hamburg,West Germany,Germany,Croatia,Croatia,,,1,2006
Anthony Šerić,Croatia,15-Jan-79,Sydney,Australia,,Croatia ,Croatia ,,,1,2006
Alessandro dos Santos (Alex),Japan,20-Jul-77,Maringá,Brazil,,,,,,1,2006
Tobias Linderoth,Sweden,21-Apr-79,Marseille ,France ,,Sweden,Sweden,,,1,2006
Johan Djourou,Switzerland,18-Jan-87,Abidjan,Ivory Coast,,Ivory Coast,Ivory Coast,,,1,2006
Blerim Džemaili,Switzerland,12-Apr-86,Tetovo,SFR Yugoslavia,Macedonia,Albania,Albania,,,1,2006
Valon Behrami,Switzerland,19-Apr-85,Titova Mitrovica,SFR Yugoslavia,Kosovo,Kosovo ,Kosovo,,,1,2006
Thomas Dossevi,Togo,6-Mar-79,Chambray-lès-Tours,France,,Togo,Togo,,,1,2006
Robert Malm,Togo,21 augustus 1973,Dunkerque,France,,,,,,1,2006
Éric Akoto,Togo,20-Jul-80,Accra,Ghana,,,,,,1,2006
Richmond Forson,Togo,23-May-80,Aflao,Ghana,,,,,,1,2006
Alaixys Romao,Togo,18-Jan-84,L'Haÿ-les-Roses,France,,,,,,1,2006
Ludovic Assemoassa,Togo,18-Sep-80,Lyon,France,,,,,,1,2006
Pablo Mastroeni,United States,29 augustus 1976,Mendoza,Argentina,,Argentina (?),Argentina (?),Italy (?),Italy (?),1,2006
Karim Essediri,Tunisia,29-Jul-79,Paris,France,,Tunisia (?),Tunisia (?),,,1,2006
Alaeddine Yahia,Tunisia,26-Sep-81,Colombes,France,,Tunisia (?),Tunisia (?),,,1,2006
Mehdi Nafti,Tunisia,28-Nov-78,Toulouse,France,,Tunisia,France (?),,,1,2006
Francileudo Santos,Tunisia,20-Mar-79,Zé Doca,Brazil,,Brazil (?),Brazil (?),,,1,2006
Adel Chedli,Tunisia,16-Sep-76,La Ricamarie,France,,Tunisia,Tunisia,,,1,2006
Chaouki Ben Saada,Tunisia,1-Jul-84,Bastia,France,,Tunisia,Tunisia,,,1,2006
David Jemmali,Tunisia,13-Dec-74,Toulouse,France,,Tunisia,Tunisia,,,1,2006
Hamed Namouchi,Tunisia,12-Jan-84,Cannes,France,,Tunisia,Tunisia,,,1,2006
Andriy Nesmachnyi,Ukraine,28-Feb-79,Bryansk,Soviet Union,Russia,Russia (?),Russia (?),,,1,2006
Artem Milevskyi,Ukraine,12-Jan-85,Minsk,Soviet Union,Belarus,Belarus (?),Belarus (?),,,1,2006
Vladyslav Vashchuk,Ukraine,2-Jan-75,Ashgabat,Soviet Union,Turkmenistan,Turkmenistan (?),Turkmenistan (?),,,1,2006
Madjid Bougherra ,Algeria,7-Oct-82,Longvic,France,,France,France,Algeria,,1,2010
