Name Football Player,International ,Date of birth,Place of Birth ,Country of Birth,Current Country ,Nationality Father,Nationality Mother,Nationality Grandfather,Nationality Grandmother,Foreign-born,FIFA World Cup
Alfred Bickel (aslo known as Fredy Bickel),Switzerland,2-May-18,Eppstein,German Empire,Germany,,,,,1,1938
Alessandro Frigerio Payán (Alessandro Frigerio),Switzerland,15-Nov-14,Tumaco,Colombia,,Switzerland,Colombia,,,1,1938
"Eugen ""Genia"" Walaschek",Switzerland,20-Jun-16,Moscow,Soviet Union ,Russia,Czechoslovakia,Germany,,Switzerland,1,1938
Vladimir Beara,Yugoslavia,2-Nov-28,Zelovo,Yugoslavia,Croatia,,,,,1,1950
Stjepan Bobek ,Yugoslavia,3-Dec-23,Zagreb,Yugoslavia,Croatia,,,,,1,1950
Željko Čajkovski,Yugoslavia,5-May-25,Zagreb,Yugoslavia,Croatia,,,,,1,1950
"Zlatko ""Čik"" Čajkovski",Yugoslavia,24-Jan-23,Zagreb,Yugoslavia,Croatia,,,,,1,1950
Predrag Đajić,Yugoslavia,1-May-22,Sarajevo,Yugoslavia,Bosnia and Herzegovina,,,,,1,1950
Vladimir Firm,Yugoslavia,5-Jun-23,Zagreb,Yugoslavia,Croatia,,,,,1,1950
"Ivan ""Ivica"" Horvat (Captain)",Yugoslavia,16-Jul-26,Sisak,Yugoslavia,Croatia,,,,,1,1950
Ervin Katnić,Yugoslavia,2-Sep-21,Pula,Yugoslavia,Croatia,,,,,1,1950
Srđan Mrkušić,Yugoslavia,26-Jun-15,Podgora,Yugoslavia,Croatia,,,,,1,1950
Ivo Radovniković,Yugoslavia,9-Feb-18,Split,Yugoslavia,Croatia,,,,,1,1950
"Branislav ""Branko"" Stanković",Yugoslavia,31-Oct-21,Sarajevo,Yugoslavia,Bosnia and Herzegovina,,,,,1,1950
"Bernard ""Bajdo"" Vukas",Yugoslavia,1-May-27,Zagreb,Yugoslavia,Croatia,,,,,1,1950
"Francisco Urroz Martínez (""Pancho"")",Chile,14-Dec-20,Higuerote,Venezuela,,,,,,1,1950
Alfred Bickel (aslo known as Fredy Bickel),Switzerland,2-May-18,Eppstein,German Empire,Germany,,,,,1,1950
"Jacques ""Jacky"" Fatton",Switzerland,19-Dec-25,Exincourt,France,,France,France,,,1,1950
Hans-Peter Friedländer,Switzerland,6-Nov-20,Berlin,German Empire,Germany,,,,,1,1950
Rudolf Gyger,Switzerland,16-Apr-20,Niedernjesa,German Empire,Germany,,,,,1,1950
"Geoffrey ""Jeff"" Coombes",United States,23-Apr-19,Lincoln,England,,England,England,,,1,1950
Joseph Edouard Gaetjens,United States,19-Mar-24,Port-au-Prince,Haiti,,Haiti,Haiti,Germany,,1,1950
Gino Gard (born Gino Gardassanich),United States,26-Nov-22,Fiume (now Reijka  Croatia),Italy,,Yugoslavia ,Yugoslavia,,,1,1950
Joe Maca,United States,28-Sep-20,Brussels,Belgium,,Belgium,Belgium,,,1,1950
"Edward John ""Ed"" McIlvenny",United States,21-Oct-24,Greenock,Scotland,,,,,,1,1950
Adam Wolanin,United States,13-Nov-19,Lwow,Poland,,,,,,1,1950
Ernesto José Vidal (born Ernesto Servolo Pedro Vidal),Uruguay,15-Nov-21,Buie d'Istria,Italy,,Italy,Italy,,,1,1950
Roberto Capparelli,Bolivia,18-Nov-21,UNKNOWN,Argentina,,,,,,1,1950
Walter Schleger,Austria,19-Sep-29,Prague,Czechoslovakia,Czech Republic,,,,,1,1954
Theodor Reimann,Czechoslovakia,10-Feb-21,Strečno,Czechoslovakia,Slovakia,,,,,1,1954
Michal Benedikovič,Czechoslovakia,31-May-23,UNKNOWN,Czechoslovakia,Slovakia,,,,,1,1954
Anton Malatinský,Czechoslovakia,15-Jan-20,Trnava,Czechoslovakia,Slovakia,,,,,1,1954
Emil Pažický,Czechoslovakia,14-Oct-27,Považský Chlmec,Czechoslovakia,Slovakia,,,,,1,1954
Anton Krásnohorský,Czechoslovakia,22-Oct-25,UNKNOWN,Czechoslovakia,Slovakia,,,,,1,1954
Ladislav Kačáni,Czechoslovakia,1-Apr-31,Lučenec,Czechoslovakia,Slovakia,,,,,1,1954
Kazimír Gajdoš,Czechoslovakia,28-Mar-34,UNKNOWN,Czechoslovakia,Slovakia,,,,,1,1954
Imrich Stacho,Czechoslovakia,4-Nov-31,Trnava,Czechoslovakia,Slovakia,,,,,1,1954
Xercès Louis,France,31-Oct-26,Sainte-Marie,Martinique,,,,,,1,1954
Abderrahmane Mahjoub,France,25-Apr-29,Casablanca,French Morocco,Morocco,Morocco,Morocco,,,1,1954
Abdelaziz Ben Tifour,France,25-Jul-27,Hussein Dey,French Algeria,Algeria,Algeria,Algeria,,,1,1954
Mihály Tóth,Hungary,24-Sep-26,Bezdan,Yugoslavia,Serbia,Hungary,Hungary,,,1,1954
Sándor Gellér,Hungary,12-Jul-25,Veseuș,Romania,,,,,,1,1954
Jorge Romo Fuentes,Mexico,20-Apr-34,Havana,Cuba,,Mexico,Mexico,,,1,1954
Carlos Blanco Castañón,Mexico,5-Mar-28,Madrid,Spain,,,,,,1,1954
Hong Deok-young,South Korea,5-May-21,Hamhŭng,Korea under Japanese rule,,,,,,1,1954
Park Kyu-chung,South Korea,12-Jun-24,UNKNOWN,Korea under Japanese rule,,,,,,1,1954
Choi Chung-min,South Korea,30 augustus 1930,Pyongyang,Korea under Japanese rule,,,,,,1,1954
Chu Yung-kwang,South Korea,xx-xx-1920,Pyongyang,Korea under Japanese rule,,,,,,1,1954
Chung Kook-chin,South Korea,2-Jan-17,UNKNOWN,Korea under Japanese rule,,,,,,1,1954
Norbert Eschmann,Switzerland,19-Mar-33,Besançon,France,,,,,,1,1954
"Jacques ""Jacky"" Fatton",Switzerland,19-Dec-25,Exincourt,France,,France,France,,,1,1954
Basri Dirimlili (his Turkish name Mehmetcik Basri),Turkey,7-Jun-29,Dârstor (now Silistra),Romania,,,,,,1,1954
Juan Hohberg ,Uruguay,19-Jun-26,Córdoba,Argentina,,,,Germany,,1,1954
Fritz Laband,West Germany,1-Nov-25,Hindenburg O.S (now: Zabrze),German Reich,Poland,,,,,1,1954
"Josef ""Jupp"" Posipal",West Germany,20-Jun-27,Lugoj,Romania,,Germany,Germany,,,1,1954
Richard Herrmann,West Germany,28-Jan-23,Katowice,Poland,,,,,,1,1954
Vladimir Beara,Yugoslavia,2-Nov-28,Zelovo,Yugoslavia,Croatia,,,,,1,1954
"Branislav ""Branko"" Stanković",Yugoslavia,31-Oct-21,Sarajevo,Yugoslavia,Bosnia and Herzegovina,,,,,1,1954
Tomislav Crnković,Yugoslavia,17-Jun-29,Kotor,Yugoslavia,Montenegro,,,,,1,1954
"Zlatko ""Čik"" Čajkovski",Yugoslavia,24-Jan-23,Zagreb,Yugoslavia,Croatia,,,,,1,1954
"Ivan ""Ivica"" Horvat",Yugoslavia,16-Jul-26,Sisak,Yugoslavia,Croatia,,,,,1,1954
"Bernard ""Bajdo"" Vukas",Yugoslavia,1-May-27,Zagreb,Yugoslavia,Croatia,,,,,1,1954
Stjepan Bobek (Captain),Yugoslavia,3-Dec-23,Zagreb,Yugoslavia,Croatia,,,,,1,1954
"Branislav ""Branko"" Zebec ",Yugoslavia,17-May-29,Zagreb,Yugoslavia,Croatia,,,,,1,1954
Branko Kralj,Yugoslavia,10-Mar-24,Zagreb,Yugoslavia,Croatia,,,,,1,1954
Miljan Zeković,Yugoslavia,15-Nov-25,Nikšić,Yugoslavia,Montenegro,,,,,1,1954
Lev Mantula,Yugoslavia,8-Dec-28,Sarajevo,Yugoslavia,Bosnia and Herzegovina,,,,,1,1954
Bruno Belin,Yugoslavia,16-Jan-29,Zagreb,Yugoslavia,Croatia,,,,,1,1954
Zlatko Papec,Yugoslavia,17-Jan-34,Zagreb,Yugoslavia,Croatia,,,,,1,1954
Dionizije Dvornić,Yugoslavia,27-Apr-26,Popovac,Yugoslavia,Croatia,,,,,1,1954
Walter Schleger,Austria,19-Sep-29,Prague,Czechoslovakia,Czech Republic,,,,,1,1958
Imrich Stacho,Czechoslovakia,4-Nov-31,Trnava,Czechoslovakia,Slovakia,,,,,1,1958
Gustav Mráz,Czechoslovakia,11-Sep-34,UNKNOWN,Czechoslovakia,Slovakia,,,,,1,1958
Kazimír Gajdoš,Czechoslovakia,28-Mar-34,UNKNOWN,Czechoslovakia,Slovakia,,,,,1,1958
Pavol Molnár,Czechoslovakia,13-Feb-36,Bratislava,Czechoslovakia,Slovakia,,,,,1,1958
Ján Popluhár,Czechoslovakia,12-Sep-35,Bernolákovo,Czechoslovakia,Slovakia,,,,,1,1958
Titus Buberník,Czechoslovakia,12-Oct-33,Pusté Úľany,Czechoslovakia,Slovakia,,,,,1,1958
Adolf Scherer,Czechoslovakia,5-May-38,Vrútky,Czechoslovakia,Slovakia,,,,,1,1958
Anton Moravčík,Czechoslovakia,3-Jun-31,Komárno,Czechoslovakia,Slovakia,,,,,1,1958
Just Fontaine,France,18-Jul-33,Marrakesh,French Morocco,Morocco,France ,Spain,,,1,1958
Célestin Oliver,France,12-Jul-30,Mostaganem,French Algeria,Algeria,Algeria,Algeria,,,1,1958
Jorge Romo Fuentes,Mexico,20-Apr-34,Havana,Cuba,,Mexico,Mexico,,,1,1958
Carlos Blanco Castañón,Mexico,5-Mar-28,Madrid,Spain,,,,,,1,1958
John Davison Hewie,Scotland,13-Dec-27,Pretoria,South Africa,,Scotland,Scotland,,,1,1958
Vladimir Nikitovich Maslachenko,Soviet Union,5-Mar-36,Vasylkivka,Soviet Union,Ukraine,,,,,1,1958
Leonid Ostrovskiy,Soviet Union,17-Jan-36,Riga,Soviet Union,Latvia,,,,,1,1958
